PROVINSI,TANGGAL,HARGA_BERAS
DKI JAKARTA,2019-08-01,12600.0
DKI JAKARTA,2019-09-01,12650.0
DKI JAKARTA,2019-10-01,12700.0
DKI JAKARTA,2019-11-01,12700.0
DKI JAKARTA,2019-12-01,12700.0
DKI JAKARTA,2020-01-01,13050.0
DKI JAKARTA,2020-02-01,13200.0
DKI JAKARTA,2020-03-01,13300.0
DKI JAKARTA,2020-04-01,13500.0
DKI JAKARTA,2020-05-01,13500.0
DKI JAKARTA,2020-06-01,13500.0
DKI JAKARTA,2020-07-01,13500.0
DKI JAKARTA,2020-08-01,13500.0
DKI JAKARTA,2020-09-01,13450.0
DKI JAKARTA,2020-10-01,13450.0
DKI JAKARTA,2020-11-01,13450.0
DKI JAKARTA,2020-12-01,13450.0
DKI JAKARTA,2021-01-01,13450.0
DKI JAKARTA,2021-02-01,13450.0
DKI JAKARTA,2021-03-01,13400.0
DKI JAKARTA,2021-04-01,13400.0
DKI JAKARTA,2021-05-01,13400.0
DKI JAKARTA,2021-06-01,13400.0
DKI JAKARTA,2021-07-01,13300.0
DKI JAKARTA,2021-08-01,13250.0
DKI JAKARTA,2021-09-01,13250.0
DKI JAKARTA,2021-10-01,13250.0
DKI JAKARTA,2021-11-01,13250.0
DKI JAKARTA,2021-12-01,13450.0
DKI JAKARTA,2022-01-01,13500.0
DKI JAKARTA,2022-02-01,13500.0
DKI JAKARTA,2022-03-01,13450.0
DKI JAKARTA,2022-04-01,13450.0
DKI JAKARTA,2022-05-01,13400.0
DKI JAKARTA,2022-06-01,13400.0
DKI JAKARTA,2022-07-01,13450.0
DKI JAKARTA,2022-08-01,13500.0
DKI JAKARTA,2022-09-01,13600.0
DKI JAKARTA,2022-10-01,13750.0
DKI JAKARTA,2022-11-01,13800.0
DKI JAKARTA,2022-12-01,14000.0
DKI JAKARTA,2023-01-01,14150.0
DKI JAKARTA,2023-02-01,14450.0
DKI JAKARTA,2023-03-01,14450.0
DKI JAKARTA,2023-04-01,14450.0
DKI JAKARTA,2023-05-01,14400.0
DKI JAKARTA,2023-06-01,14500.0
DKI JAKARTA,2023-07-01,14450.0
DKI JAKARTA,2023-08-01,14650.0
DKI JAKARTA,2023-09-01,15150.0
DKI JAKARTA,2023-10-01,15200.0
DKI JAKARTA,2023-11-01,15200.0
DKI JAKARTA,2023-12-01,15300.0
DKI JAKARTA,2024-01-01,15450.0
DKI JAKARTA,2024-02-01,16000.0
DKI JAKARTA,2024-03-01,16150.0
DKI JAKARTA,2024-04-01,15750.0
DKI JAKARTA,2024-05-01,15500.0
DKI JAKARTA,2024-06-01,15450.0
DKI JAKARTA,2024-07-01,15650.0
DKI JAKARTA,2024-08-01,15650.0
DKI JAKARTA,2024-09-01,15550.0
DKI JAKARTA,2024-10-01,15550.0
DKI JAKARTA,2024-11-01,15450.0
DKI JAKARTA,2024-12-01,15500.0
DKI JAKARTA,2025-01-01,15700.0
DKI JAKARTA,2025-02-01,15700.0
DKI JAKARTA,2025-03-01,15700.0
DKI JAKARTA,2025-04-01,15700.0
DKI JAKARTA,2025-05-01,15650.0
DKI JAKARTA,2025-06-01,15950.0
DKI JAKARTA,2025-07-01,16150.0
DKI JAKARTA,2025-08-01,16250.0
DKI JAKARTA,2025-09-01,16300.0
DKI JAKARTA,2025-10-01,16300.0
DKI JAKARTA,2025-11-01,16300.0
DKI JAKARTA,2025-12-01,16300.0
GORONTALO,2019-01-01,10750.0
GORONTALO,2019-02-01,10750.0
GORONTALO,2019-03-01,10750.0
GORONTALO,2019-04-01,10750.0
GORONTALO,2019-05-01,10750.0
GORONTALO,2019-06-01,10750.0
GORONTALO,2019-07-01,10750.0
GORONTALO,2019-08-01,10750.0
GORONTALO,2019-09-01,10700.0
GORONTALO,2019-10-01,10700.0
GORONTALO,2019-11-01,10700.0
GORONTALO,2019-12-01,10700.0
GORONTALO,2020-01-01,10700.0
GORONTALO,2020-02-01,10700.0
GORONTALO,2020-03-01,10700.0
GORONTALO,2020-04-01,11100.0
GORONTALO,2020-05-01,11400.0
GORONTALO,2020-06-01,11350.0
GORONTALO,2020-07-01,11250.0
GORONTALO,2020-08-01,11000.0
GORONTALO,2020-09-01,10900.0
GORONTALO,2020-10-01,10900.0
GORONTALO,2020-11-01,10850.0
GORONTALO,2020-12-01,10850.0
GORONTALO,2021-01-01,10850.0
GORONTALO,2021-02-01,10850.0
GORONTALO,2021-03-01,10850.0
GORONTALO,2021-04-01,10850.0
GORONTALO,2021-05-01,10850.0
GORONTALO,2021-06-01,10850.0
GORONTALO,2021-07-01,10950.0
GORONTALO,2021-08-01,10950.0
GORONTALO,2021-09-01,11000.0
GORONTALO,2021-10-01,11000.0
GORONTALO,2021-11-01,10950.0
GORONTALO,2021-12-01,10950.0
GORONTALO,2022-01-01,11000.0
GORONTALO,2022-02-01,11000.0
GORONTALO,2022-03-01,11000.0
GORONTALO,2022-04-01,11000.0
GORONTALO,2022-05-01,11000.0
GORONTALO,2022-06-01,11000.0
GORONTALO,2022-07-01,10950.0
GORONTALO,2022-08-01,10950.0
GORONTALO,2022-09-01,11100.0
GORONTALO,2022-10-01,11350.0
GORONTALO,2022-11-01,11350.0
GORONTALO,2022-12-01,11950.0
GORONTALO,2023-01-01,12200.0
GORONTALO,2023-02-01,12250.0
GORONTALO,2023-03-01,12850.0
GORONTALO,2023-04-01,13500.0
GORONTALO,2023-05-01,13450.0
GORONTALO,2023-06-01,13350.0
GORONTALO,2023-07-01,13250.0
GORONTALO,2023-08-01,13300.0
GORONTALO,2023-09-01,13850.0
GORONTALO,2023-10-01,14700.0
GORONTALO,2023-11-01,14750.0
GORONTALO,2023-12-01,14500.0
GORONTALO,2024-01-01,14550.0
GORONTALO,2024-02-01,15250.0
GORONTALO,2024-03-01,17650.0
GORONTALO,2024-04-01,15900.0
GORONTALO,2024-05-01,14750.0
GORONTALO,2024-06-01,14500.0
GORONTALO,2024-07-01,14400.0
GORONTALO,2024-08-01,14700.0
GORONTALO,2024-09-01,14750.0
GORONTALO,2024-10-01,14600.0
GORONTALO,2024-11-01,14500.0
GORONTALO,2024-12-01,14550.0
GORONTALO,2025-01-01,14550.0
GORONTALO,2025-02-01,14700.0
GORONTALO,2025-03-01,14750.0
GORONTALO,2025-04-01,14750.0
GORONTALO,2025-05-01,14750.0
GORONTALO,2025-06-01,15400.0
GORONTALO,2025-07-01,16300.0
GORONTALO,2025-08-01,16900.0
GORONTALO,2025-09-01,16800.0
GORONTALO,2025-10-01,16450.0
GORONTALO,2025-11-01,15950.0
GORONTALO,2025-12-01,15550.0
JAMBI,2019-01-01,12100.0
JAMBI,2019-02-01,12150.0
JAMBI,2019-03-01,12150.0
JAMBI,2019-04-01,12100.0
JAMBI,2019-05-01,12100.0
JAMBI,2019-06-01,12100.0
JAMBI,2019-07-01,12100.0
JAMBI,2019-08-01,12100.0
JAMBI,2019-09-01,12100.0
JAMBI,2019-10-01,12100.0
JAMBI,2019-11-01,12150.0
JAMBI,2019-12-01,12150.0
JAMBI,2020-01-01,12150.0
JAMBI,2020-02-01,12150.0
JAMBI,2020-03-01,11850.0
JAMBI,2020-04-01,11800.0
JAMBI,2020-05-01,11800.0
JAMBI,2020-06-01,11800.0
JAMBI,2020-07-01,11800.0
JAMBI,2020-08-01,11800.0
JAMBI,2020-09-01,11800.0
JAMBI,2020-10-01,11800.0
JAMBI,2020-11-01,11800.0
JAMBI,2020-12-01,11800.0
JAMBI,2021-01-01,11800.0
JAMBI,2021-02-01,11800.0
JAMBI,2021-03-01,11800.0
JAMBI,2021-04-01,11800.0
JAMBI,2021-05-01,11800.0
JAMBI,2021-06-01,11800.0
JAMBI,2021-07-01,11800.0
JAMBI,2021-08-01,11800.0
JAMBI,2021-09-01,11800.0
JAMBI,2021-10-01,11800.0
JAMBI,2021-11-01,11800.0
JAMBI,2021-12-01,11800.0
JAMBI,2022-01-01,11800.0
JAMBI,2022-02-01,11800.0
JAMBI,2022-03-01,11800.0
JAMBI,2022-04-01,11800.0
JAMBI,2022-05-01,11850.0
JAMBI,2022-06-01,11900.0
JAMBI,2022-07-01,11900.0
JAMBI,2022-08-01,11950.0
JAMBI,2022-09-01,12250.0
JAMBI,2022-10-01,12500.0
JAMBI,2022-11-01,12850.0
JAMBI,2022-12-01,12850.0
JAMBI,2023-01-01,12850.0
JAMBI,2023-02-01,12900.0
JAMBI,2023-03-01,12950.0
JAMBI,2023-04-01,12950.0
JAMBI,2023-05-01,13000.0
JAMBI,2023-06-01,13100.0
JAMBI,2023-07-01,13100.0
JAMBI,2023-08-01,13250.0
JAMBI,2023-09-01,13700.0
JAMBI,2023-10-01,13800.0
JAMBI,2023-11-01,14050.0
JAMBI,2023-12-01,14100.0
JAMBI,2024-01-01,14150.0
JAMBI,2024-02-01,14300.0
JAMBI,2024-03-01,14750.0
JAMBI,2024-04-01,14700.0
JAMBI,2024-05-01,14650.0
